,bedrooms,bathrooms,squarefeet,total_taxes_assessed,yearbuilt,taxamount,county
0,4.0,4.0,2954.0,735227.0,1924.0,9057.14,Los_Angeles
1,4.0,2.0,1390.0,429900.0,1962.0,4892.26,Orange
2,2.0,1.0,823.0,148542.0,1986.0,2666.78,Los_Angeles
3,4.0,3.0,2966.0,654241.0,2001.0,8008.59,Los_Angeles
4,2.0,2.0,1540.0,456340.0,1938.0,5651.44,Los_Angeles
5,3.0,3.0,1925.0,522000.0,1979.0,6622.6,Los_Angeles
6,2.0,1.0,959.0,309818.0,1952.0,3776.7,Ventura
7,3.0,1.5,1293.0,193379.0,1954.0,2588.92,Orange
8,2.0,1.0,1113.0,766295.0,1928.0,9211.12,Los_Angeles
9,4.0,3.0,2365.0,83516.0,1955.0,1187.74,Orange
10,6.0,3.0,1682.0,94289.0,1921.0,1223.99,Los_Angeles
11,4.0,3.0,2270.0,419327.0,1964.0,5103.99,Los_Angeles
13,4.0,2.0,1451.0,150793.0,1984.0,2698.65,Los_Angeles
14,3.0,2.0,1474.0,72644.0,1957.0,1306.56,Los_Angeles
15,3.0,2.0,1545.0,582528.0,1963.0,6608.42,Orange
16,3.0,2.0,1407.0,82563.0,1964.0,784.88,Orange
17,3.0,2.0,1275.0,316958.0,1963.0,3841.06,Orange
19,3.0,2.0,1692.0,473664.0,2003.0,5538.2,Orange
20,3.0,1.0,1141.0,494000.0,1944.0,5263.78,Ventura
21,3.0,1.0,1312.0,239881.0,1953.0,3071.5,Ventura
22,3.0,2.0,1240.0,646000.0,1962.0,7290.8,Orange
23,2.0,1.0,1124.0,619302.0,1948.0,6859.85,Los_Angeles
24,4.0,2.0,2357.0,666000.0,1963.0,7872.53,Los_Angeles
25,3.0,2.0,1387.0,65552.0,1955.0,966.68,Orange
27,4.0,3.0,2077.0,482767.0,1935.0,5868.09,Los_Angeles
28,5.0,3.0,2136.0,476361.0,1959.0,6082.36,Los_Angeles
29,4.0,2.0,1804.0,629454.0,1944.0,7630.29,Los_Angeles
30,2.0,2.0,913.0,249000.0,1984.0,3098.32,Los_Angeles
31,3.0,2.0,1454.0,353534.0,1979.0,3756.76,Ventura
32,1.0,1.0,700.0,271950.0,1924.0,3476.15,Los_Angeles
33,4.0,1.0,1360.0,117352.0,1972.0,1685.78,Orange
34,4.0,2.0,1250.0,195535.0,1954.0,2399.31,Los_Angeles
35,3.0,1.0,1230.0,321665.0,1929.0,4166.11,Los_Angeles
36,2.0,2.0,1202.0,682719.0,1953.0,8277.54,Los_Angeles
37,5.0,3.0,1623.0,568540.0,1958.0,6562.54,Orange
